This is a logfile generated by pires.obd.readerlat:42.65805558;long:-71.32294288;alt:-3.0;vehicleid:;readings:otocol AUTO=OK; Reset OBD=ATZELM327v1.3a; Echo Off=OK; Timeout=OK; Line Feed Off=OK
TIME;LATITUDE;LONGITUDE;VEHICLE_ID;BAROMETRIC_PRESSURE;ENGINE_COOLANT_TEMP;FUEL_LEVEL;ENGINE_LOAD;AMBIENT_AIR_TEMP;ENGINE_RPM;INTAKE_MANIFOLD_PRESSURE;MAF;Term Fuel Trim Bank 1;FUEL_ECONOMY;Long Term Fuel Trim Bank 2;FUEL_TYPE;AIR_INTAKE_TEMP;FUEL_PRESSURE;SPEED;Short Term Fuel Trim Bank 2;Short Term Fuel Trim Bank 1;ENGINE_RUNTIME;THROTTLE_POS;DTC_NUMBER;TROUBLE_CODES;TIMING_ADVANCE;EQUIV_RATIO
1462029397162;42.65482012;-71.32616205;1.0;;101kPa;88C;NODATA;28.2%;NODATA;1127RPM;NODATA;3.42g/s;null;null;NODATA;Gasoline;43C;NODATA;43km/h;NODATA;-7.8%;00:02:42;15.3%;MIL is OFF0 codes;;71.4%;1.0%
1462029403205;42.65434798;-71.32657549;10.0;;101kPa;89C;NODATA;23.1%;NODATA;1003RPM;NODATA;3.04g/s;null;null;NODATA;Gasoline;45C;NODATA;30km/h;NODATA;0.8%;00:02:48;15.3%;MIL is OFF0 codes;;66.7%;1.0%
1462029409241;42.65404673;-71.32687774;8.0;;101kPa;90C;NODATA;24.7%;NODATA;824RPM;NODATA;2.64g/s;null;null;NODATA;Gasoline;42C;NODATA;28km/h;NODATA;3.9%;00:02:54;14.9%;MIL is OFF0 codes;;66.7%;1.0%
1462029415300;42.65366367;-71.32725405;13.0;;101kPa;90C;NODATA;54.9%;NODATA;1570RPM;NODATA;12.48g/s;null;null;NODATA;Gasoline;41C;NODATA;null;NODATA;4.7%;00:03:00;20.8%;MIL is OFF0 codes;;69.4%;1.0%
1462029421333;42.65323496;-71.32772103;17.0;;101kPa;89C;NODATA;58.8%;NODATA;1656RPM;NODATA;15.43g/s;null;null;NODATA;Gasoline;37C;NODATA;41km/h;NODATA;3.9%;00:03:06;21.6%;MIL is OFF0 codes;;68.2%;1.0%
1462029427376;42.65278696;-71.3283123;15.0;;101kPa;89C;NODATA;25.1%;NODATA;1258RPM;NODATA;3.60g/s;null;null;NODATA;Gasoline;41C;NODATA;40km/h;NODATA;0.0%;00:03:12;15.7%;MIL is OFF0 codes;;70.6%;1.0%
1462029433420;42.65240112;-71.32884346;11.0;;101kPa;90C;NODATA;23.1%;NODATA;1157RPM;NODATA;3.57g/s;null;null;NODATA;Gasoline;43C;NODATA;38km/h;NODATA;0.0%;00:03:18;15.7%;MIL is OFF0 codes;;67.8%;0.0%
1462029438466;42.65208386;-71.32926757;8.0;;101kPa;89C;NODATA;23.5%;NODATA;1215RPM;NODATA;3.71g/s;null;null;NODATA;Gasoline;43C;NODATA;null;NODATA;0.0%;00:03:24;15.7%;MIL is OFF0 codes;;55.7%;0.0%
1462029444517;42.65199139;-71.32937023;8.0;;101kPa;90C;NODATA;24.7%;NODATA;735RPM;NODATA;2.78g/s;null;null;NODATA;Gasoline;44C;NODATA;3km/h;NODATA;-0.8%;00:03:29;14.9%;MIL is OFF0 codes;;66.7%;0.0%
1462029451559;42.65187576;-71.32947873;4.0;;101kPa;90C;NODATA;33.7%;NODATA;868RPM;NODATA;3.35g/s;null;null;NODATA;Gasoline;44C;NODATA;12km/h;NODATA;4.7%;00:03:35;15.7%;MIL is OFF0 codes;;53.7%;0.0%
