This is a logfile generated by pires.obd.readerlat:42.62572901;long:-71.05901784;alt:33.0;vehicleid:;readings:otocol AUTO=OK; Reset OBD=ATZELM327v1.3a; Echo Off=OK; Timeout=OK; Line Feed Off=OK
TIME;LATITUDE;LONGITUDE;VEHICLE_ID;BAROMETRIC_PRESSURE;ENGINE_COOLANT_TEMP;FUEL_LEVEL;ENGINE_LOAD;AMBIENT_AIR_TEMP;ENGINE_RPM;INTAKE_MANIFOLD_PRESSURE;MAF;Term Fuel Trim Bank 1;FUEL_ECONOMY;Long Term Fuel Trim Bank 2;FUEL_TYPE;AIR_INTAKE_TEMP;FUEL_PRESSURE;SPEED;Short Term Fuel Trim Bank 2;Short Term Fuel Trim Bank 1;ENGINE_RUNTIME;THROTTLE_POS;DTC_NUMBER;TROUBLE_CODES;TIMING_ADVANCE;EQUIV_RATIO
1460512172116;42.62572901;-71.05901784;33.0;;14.6psi;141.8F;NODATA;32.9%;NODATA;837RPM;NODATA;4.06g/s;null;null;NODATA;Gasoline;95.0F;NODATA;0.00mph;NODATA;1.6%;00:00:15;16.1%;MIL is OFF0 codes;;57.6%;1.0%
1460512178126;42.62572901;-71.05901784;33.0;;14.6psi;141.8F;NODATA;32.5%;NODATA;910RPM;NODATA;4.23g/s;null;null;NODATA;Gasoline;95.0F;NODATA;0.00mph;NODATA;2.3%;00:00:22;16.1%;MIL is OFF0 codes;;54.5%;1.0%
1460512186153;42.62576641;-71.0590724;23.0;;14.6psi;143.6F;NODATA;32.2%;NODATA;935RPM;NODATA;4.25g/s;null;null;NODATA;Gasoline;93.2F;NODATA;0.00mph;NODATA;2.3%;00:00:28;16.1%;MIL is OFF0 codes;;57.3%;1.0%
1460512194198;42.62576641;-71.0590724;23.0;;14.6psi;145.4F;NODATA;40.8%;NODATA;862RPM;NODATA;5.10g/s;null;null;NODATA;Gasoline;91.4F;NODATA;1.86mph;NODATA;3.1%;00:00:36;16.9%;MIL is OFF0 codes;;58.0%;1.0%
1460512200243;42.62576641;-71.0590724;23.0;;14.6psi;147.2F;NODATA;42.4%;NODATA;792RPM;NODATA;6.54g/s;null;null;NODATA;Gasoline;86.0F;NODATA;4.97mph;NODATA;3.1%;00:00:44;17.6%;MIL is OFF0 codes;;56.1%;1.0%
1460512208281;42.62554766;-71.05919891;22.0;;14.6psi;149.0F;NODATA;56.5%;NODATA;1629RPM;NODATA;14.00g/s;null;null;NODATA;Gasoline;82.4F;NODATA;6.84mph;NODATA;0.0%;00:00:50;20.8%;MIL is OFF0 codes;;73.3%;1.0%
1460512216308;42.62566201;-71.05957039;22.0;;14.6psi;150.8F;NODATA;58.8%;NODATA;1492RPM;NODATA;13.48g/s;null;null;NODATA;Gasoline;78.8F;NODATA;14.29mph;NODATA;-0.8%;00:00:58;20.4%;MIL is OFF0 codes;;69.0%;1.0%
1460512224341;42.62618794;-71.06032057;19.0;;14.6psi;154.4F;NODATA;80.0%;NODATA;1415RPM;NODATA;18.39g/s;null;null;NODATA;Gasoline;77.0F;NODATA;26.72mph;NODATA;0.0%;00:01:06;23.1%;MIL is OFF0 codes;;63.1%;1.0%
1460512236382;42.62724409;-71.06180373;14.0;;14.6psi;161.6F;NODATA;75.7%;NODATA;1683RPM;NODATA;20.03g/s;null;null;NODATA;Gasoline;77.0F;NODATA;37.90mph;NODATA;0.0%;00:01:16;22.7%;MIL is OFF0 codes;;63.1%;1.0%
1460512242404;42.62799893;-71.06294221;10.0;;14.6psi;163.4F;NODATA;59.2%;NODATA;1418RPM;NODATA;12.57g/s;null;null;NODATA;Gasoline;75.2F;NODATA;41.63mph;NODATA;-0.8%;00:01:26;20.0%;MIL is OFF0 codes;;69.8%;1.0%
1460512250447;42.62892912;-71.0643016;7.0;;14.6psi;165.2F;NODATA;44.3%;NODATA;1284RPM;NODATA;4.28g/s;null;null;NODATA;Gasoline;77.0F;NODATA;41.01mph;NODATA;0.0%;00:01:32;16.1%;MIL is OFF0 codes;;69.8%;1.0%
1460512256498;42.62961994;-71.06534976;7.0;;14.6psi;165.2F;NODATA;63.9%;NODATA;1271RPM;NODATA;12.68g/s;null;null;NODATA;Gasoline;73.4F;NODATA;44.12mph;NODATA;1.6%;00:01:39;20.4%;MIL is OFF0 codes;;67.1%;1.0%
1460512262544;42.63033849;-71.06646437;5.0;;14.6psi;167.0F;NODATA;66.3%;NODATA;1346RPM;NODATA;14.31g/s;null;null;NODATA;Gasoline;71.6F;NODATA;46.60mph;NODATA;0.0%;00:01:46;21.2%;MIL is OFF0 codes;;65.1%;1.0%
1460512268571;42.63106628;-71.0676153;3.0;;14.6psi;168.8F;NODATA;67.5%;NODATA;1400RPM;NODATA;14.98g/s;null;null;NODATA;Gasoline;69.8F;NODATA;47.22mph;NODATA;-0.8%;00:01:51;21.2%;MIL is OFF0 codes;;65.1%;1.0%
1460512274627;42.63180508;-71.06876609;2.0;;14.6psi;170.6F;NODATA;67.1%;NODATA;1418RPM;NODATA;14.98g/s;null;null;NODATA;Gasoline;68.0F;NODATA;46.60mph;NODATA;-0.8%;00:01:57;21.2%;MIL is OFF0 codes;;66.3%;1.0%
1460512280651;42.63254232;-71.06993776;3.0;;14.6psi;172.4F;NODATA;66.7%;NODATA;1413RPM;NODATA;14.96g/s;null;null;NODATA;Gasoline;68.0F;NODATA;46.60mph;NODATA;-0.8%;00:02:03;21.2%;MIL is OFF0 codes;;66.3%;1.0%
1460512286688;42.63323213;-71.07113366;3.0;;14.6psi;172.4F;NODATA;66.3%;NODATA;1409RPM;NODATA;14.81g/s;null;null;NODATA;Gasoline;68.0F;NODATA;null;NODATA;-1.6%;00:02:09;21.2%;MIL is OFF0 codes;;66.3%;1.0%
1460512294731;42.63405014;-71.07278402;9.0;;14.6psi;176.0F;NODATA;65.9%;NODATA;1368RPM;NODATA;14.54g/s;null;null;NODATA;Gasoline;66.2F;NODATA;44.74mph;NODATA;-0.8%;00:02:15;20.8%;MIL is OFF0 codes;;65.9%;1.0%
